customer_id,customer_name,customer_tier,region,channel_preference,payment_terms,account_manager
CUST00025,Leach-Reed,Key Account,Gauteng,Retail,Net 60,T. Mokoena
CUST00026,Flores Trading,Mid-Market,KwaZulu-Natal,Retail,Net 30,L. van Wyk
CUST00027,Adams Trading,SMB,Gauteng,Ecommerce,Net 60,S. Naidoo
CUST00028,Palmer Trading,SMB,Gauteng,Ecommerce,Net 60,A. Petersen
CUST00029,Wilson Trading,SMB,KwaZulu-Natal,Wholesale,Net 60,A. Petersen
CUST00030,Simmons Ltd,Enterprise,Free State,Ecommerce,Net 45,N. Dlamini
CUST00031,Cooley Trading,SMB,KwaZulu-Natal,Ecommerce,Net 15,N. Dlamini
CUST00032,Dean Trading,SMB,Free State,Retail,COD,L. van Wyk
CUST00033,"Torres, Fleming and Martin",Enterprise,Free State,Wholesale,Net 15,L. van Wyk
CUST00034,Wood Ltd,Enterprise,Western Cape,Ecommerce,Net 60,A. Petersen
CUST00035,Page Trading,SMB,Western Cape,Wholesale,Net 30,L. van Wyk
CUST00036,Patel Group,Key Account,Limpopo,Ecommerce,Net 45,A. Petersen
CUST00037,Wright Trading,SMB,Western Cape,Wholesale,COD,T. Mokoena
CUST00038,Key Trading,SMB,Free State,Wholesale,Net 60,S. Naidoo
CUST00039,Kelly Trading,SMB,Limpopo,Retail,Net 15,N. Dlamini
CUST00040,"Barr, Washington and Garrett",Enterprise,KwaZulu-Natal,Retail,Net 60,S. Naidoo
CUST00041,Burgess Trading,SMB,Eastern Cape,Wholesale,Net 60,S. Naidoo
CUST00042,Mcmahon Trading,Mid-Market,Free State,Distributor,Net 15,L. van Wyk
CUST00043,Nelson Inc,Enterprise,Western Cape,Retail,COD,L. van Wyk
CUST00044,Fisher Trading,SMB,Eastern Cape,Distributor,COD,N. Dlamini
CUST00045,Mcintyre Trading,SMB,Limpopo,Ecommerce,COD,S. Naidoo
CUST00046,Palmer Trading,SMB,Free State,Distributor,Net 15,L. van Wyk
CUST00047,Figueroa Trading,SMB,Eastern Cape,Wholesale,COD,L. van Wyk
CUST00048,"Rogers, Cunningham and Coleman",Enterprise,Free State,Retail,COD,A. Petersen
CUST00049,Cohen and Sons,Enterprise,Gauteng,Wholesale,Net 15,L. van Wyk
CUST00050,Ortiz Trading,SMB,Western Cape,Distributor,COD,S. Naidoo
CUST00051,Roberts Trading,SMB,Eastern Cape,Ecommerce,Net 45,T. Mokoena
CUST00052,Bradley Trading,SMB,Limpopo,Distributor,Net 15,S. Naidoo
CUST00053,Spencer Trading,SMB,Gauteng,Retail,Net 30,N. Dlamini
CUST00054,Crawford Trading,SMB,Eastern Cape,Wholesale,COD,A. Petersen
CUST00055,Taylor Trading,SMB,Western Cape,Retail,Net 60,N. Dlamini
CUST00056,Brady Trading,Mid-Market,Western Cape,Distributor,COD,A. Petersen
CUST00057,Davila Trading,SMB,Free State,Retail,Net 60,N. Dlamini
CUST00058,Freeman Trading,SMB,Free State,Ecommerce,Net 30,S. Naidoo
CUST00059,Williams Trading,Mid-Market,KwaZulu-Natal,Wholesale,Net 30,L. van Wyk
CUST00060,Blackburn Trading,SMB,Limpopo,Ecommerce,Net 45,T. Mokoena
CUST00061,Hernandez Ltd,Enterprise,Gauteng,Retail,Net 45,A. Petersen
CUST00062,"Gray, Dixon and Walker",Key Account,Gauteng,Retail,Net 60,S. Naidoo
CUST00063,Fowler Trading,SMB,Western Cape,Ecommerce,COD,S. Naidoo
CUST00064,Sheppard Trading,SMB,Western Cape,Distributor,Net 60,T. Mokoena
CUST00065,James Trading,Mid-Market,Limpopo,Retail,Net 60,T. Mokoena
CUST00066,"Morris, Stevens and Salazar",Enterprise,Gauteng,Wholesale,Net 30,N. Dlamini
CUST00067,"Salinas, Terry and Gonzalez",Enterprise,Limpopo,Wholesale,Net 30,T. Mokoena
CUST00068,Phillips Trading,Mid-Market,Limpopo,Ecommerce,Net 15,T. Mokoena
CUST00069,Gomez Trading,SMB,KwaZulu-Natal,Retail,COD,L. van Wyk
CUST00070,"Smith, Ashley and Campbell",Enterprise,Gauteng,Retail,Net 30,S. Naidoo
CUST00071,Gutierrez Trading,Mid-Market,KwaZulu-Natal,Wholesale,Net 45,A. Petersen
CUST00072,Wolf Trading,Mid-Market,Free State,Retail,COD,N. Dlamini
CUST00073,Clark-Perry,Enterprise,Limpopo,Wholesale,Net 60,N. Dlamini
CUST00074,Spencer Group,Enterprise,Free State,Wholesale,Net 45,S. Naidoo
CUST00075,Duran Trading,SMB,KwaZulu-Natal,Retail,Net 30,S. Naidoo
CUST00076,Coleman Trading,Mid-Market,Limpopo,Retail,Net 30,A. Petersen
CUST00077,Anderson PLC,Enterprise,Eastern Cape,Wholesale,Net 15,S. Naidoo
CUST00078,"Roberts, Herman and Townsend",Key Account,Western Cape,Distributor,COD,S. Naidoo
CUST00079,Bradley Trading,Mid-Market,KwaZulu-Natal,Distributor,Net 15,T. Mokoena
CUST00080,Sanchez Trading,SMB,Limpopo,Retail,Net 45,N. Dlamini
CUST00081,"Walker, Rice and Herrera",Enterprise,Western Cape,Wholesale,Net 45,T. Mokoena
CUST00082,Harris Trading,SMB,Western Cape,Wholesale,COD,S. Naidoo
CUST00083,Morris Trading,SMB,KwaZulu-Natal,Retail,Net 30,T. Mokoena
CUST00084,Johnson Trading,Mid-Market,Eastern Cape,Ecommerce,COD,N. Dlamini
CUST00085,"Fischer, Smith and Garcia",Enterprise,KwaZulu-Natal,Wholesale,Net 60,T. Mokoena
CUST00086,Wolf Trading,SMB,Free State,Distributor,Net 30,T. Mokoena
CUST00087,Kim Trading,SMB,Free State,Retail,Net 45,A. Petersen
CUST00088,Mendoza Trading,SMB,Gauteng,Distributor,COD,A. Petersen
CUST00089,Boyd-Watts,Enterprise,Free State,Wholesale,Net 30,L. van Wyk
CUST00090,Diaz Trading,SMB,Limpopo,Ecommerce,Net 60,T. Mokoena
CUST00091,Scott Trading,Mid-Market,Gauteng,Ecommerce,Net 60,T. Mokoena
CUST00092,Simmons Trading,Mid-Market,KwaZulu-Natal,Distributor,Net 30,A. Petersen
CUST00093,Parrish Trading,SMB,Eastern Cape,Distributor,Net 15,A. Petersen
CUST00094,Cole Trading,Mid-Market,Eastern Cape,Retail,Net 30,T. Mokoena
CUST00095,Moore Trading,SMB,Free State,Ecommerce,Net 45,L. van Wyk
CUST00096,Miles Trading,SMB,Western Cape,Distributor,Net 15,N. Dlamini
CUST00097,Wood Trading,SMB,Limpopo,Ecommerce,COD,S. Naidoo
CUST00098,Terry Trading,Mid-Market,Western Cape,Wholesale,Net 15,N. Dlamini
CUST00099,Perez Trading,SMB,Eastern Cape,Retail,Net 45,L. van Wyk
CUST00100,Hoover LLC,Enterprise,Free State,Wholesale,Net 45,L. van Wyk
CUST00101,Lewis Trading,SMB,Western Cape,Retail,COD,L. van Wyk
CUST00102,Simpson Trading,SMB,Limpopo,Distributor,COD,A. Petersen
CUST00103,Aguilar Trading,SMB,Gauteng,Distributor,Net 15,L. van Wyk
CUST00104,Collins Trading,Mid-Market,Free State,Ecommerce,Net 45,A. Petersen
CUST00105,Shepherd-Howard,Enterprise,Free State,Distributor,Net 60,L. van Wyk
CUST00106,"Ramirez, Rowe and Rhodes",Enterprise,Limpopo,Distributor,Net 45,T. Mokoena
CUST00107,Johnston Trading,Mid-Market,Limpopo,Ecommerce,Net 60,L. van Wyk
CUST00108,Williams Trading,Mid-Market,KwaZulu-Natal,Distributor,COD,T. Mokoena
CUST00109,Moore Trading,SMB,KwaZulu-Natal,Ecommerce,Net 60,N. Dlamini
CUST00110,Nash Trading,SMB,Western Cape,Distributor,Net 15,S. Naidoo
CUST00111,Brown Trading,SMB,Eastern Cape,Ecommerce,Net 60,L. van Wyk
CUST00112,Ramirez Trading,SMB,Western Cape,Distributor,Net 45,A. Petersen
CUST00113,Bell Ltd,Enterprise,Gauteng,Distributor,Net 45,N. Dlamini
CUST00114,Jacobson Ltd,Enterprise,KwaZulu-Natal,Distributor,Net 45,A. Petersen
CUST00115,Wright Trading,Mid-Market,Free State,Wholesale,Net 45,S. Naidoo
CUST00116,Sanchez Trading,SMB,Eastern Cape,Retail,Net 45,T. Mokoena
CUST00117,Rowe Trading,Mid-Market,Eastern Cape,Wholesale,Net 45,S. Naidoo
CUST00118,Kelley PLC,Key Account,Free State,Retail,Net 45,A. Petersen
CUST00119,Parker Trading,Mid-Market,Gauteng,Retail,Net 45,S. Naidoo
CUST00120,"Anderson, Noble and Bautista",Enterprise,Western Cape,Retail,Net 30,L. van Wyk
CUST00121,King Trading,SMB,Eastern Cape,Ecommerce,Net 30,L. van Wyk
CUST00122,Smith Trading,SMB,Eastern Cape,Ecommerce,COD,L. van Wyk
CUST00123,Snyder Trading,SMB,Free State,Retail,Net 30,S. Naidoo
CUST00124,Carter Trading,Mid-Market,Limpopo,Retail,COD,S. Naidoo
CUST00125,Johnson Trading,SMB,Gauteng,Wholesale,Net 15,S. Naidoo
CUST00126,Hurst Trading,SMB,Gauteng,Wholesale,Net 45,T. Mokoena
CUST00127,Smith Trading,Mid-Market,Western Cape,Retail,Net 15,T. Mokoena
CUST00128,Bailey Trading,SMB,Gauteng,Ecommerce,Net 60,L. van Wyk
CUST00129,Huff Trading,SMB,Limpopo,Wholesale,COD,A. Petersen
CUST00130,Black Trading,Mid-Market,Limpopo,Wholesale,COD,T. Mokoena
CUST00131,Jenkins Ltd,Enterprise,Free State,Retail,Net 60,N. Dlamini
CUST00132,Walker Trading,SMB,Eastern Cape,Ecommerce,COD,A. Petersen
CUST00133,Howard Trading,Mid-Market,Gauteng,Distributor,Net 45,N. Dlamini
CUST00134,Mcconnell Trading,SMB,KwaZulu-Natal,Distributor,Net 15,L. van Wyk
CUST00135,Scott Trading,SMB,Free State,Ecommerce,Net 60,A. Petersen
CUST00136,Martinez Trading,Mid-Market,Eastern Cape,Distributor,Net 60,T. Mokoena
CUST00137,Gamble Trading,SMB,Western Cape,Retail,Net 30,L. van Wyk
CUST00138,Austin Trading,SMB,Eastern Cape,Distributor,Net 30,N. Dlamini
CUST00139,Williams Trading,SMB,KwaZulu-Natal,Wholesale,Net 45,S. Naidoo
CUST00140,Mitchell Trading,SMB,KwaZulu-Natal,Ecommerce,Net 30,A. Petersen
CUST00141,Jenkins Trading,Mid-Market,KwaZulu-Natal,Retail,Net 60,S. Naidoo
CUST00142,Dixon Trading,SMB,Limpopo,Distributor,Net 45,A. Petersen
CUST00143,Bailey Trading,Mid-Market,Limpopo,Distributor,Net 45,L. van Wyk
CUST00144,Cook Trading,Mid-Market,Gauteng,Ecommerce,Net 15,L. van Wyk
CUST00145,Luna Trading,Mid-Market,KwaZulu-Natal,Ecommerce,Net 45,A. Petersen
CUST00146,Solomon Trading,SMB,Eastern Cape,Ecommerce,Net 30,L. van Wyk
CUST00147,Hernandez Trading,SMB,KwaZulu-Natal,Wholesale,COD,S. Naidoo
CUST00148,Ortiz Trading,SMB,Limpopo,Wholesale,Net 15,S. Naidoo
CUST00149,Rivera Trading,Mid-Market,KwaZulu-Natal,Ecommerce,COD,S. Naidoo
CUST00150,Johnston Trading,SMB,KwaZulu-Natal,Wholesale,Net 30,N. Dlamini
CUST00151,Valdez Trading,Mid-Market,Western Cape,Ecommerce,COD,N. Dlamini
CUST00152,Allison Trading,Mid-Market,Limpopo,Wholesale,Net 45,N. Dlamini
CUST00153,"Pennington, Robinson and Ramirez",Enterprise,Free State,Ecommerce,Net 45,L. van Wyk
CUST00154,Patrick Trading,SMB,Western Cape,Retail,Net 30,L. van Wyk
CUST00155,Mitchell Trading,SMB,Gauteng,Distributor,Net 45,N. Dlamini
CUST00156,Lewis Trading,Mid-Market,Limpopo,Retail,Net 15,S. Naidoo
CUST00157,"Flores, Hall and Webster",Enterprise,KwaZulu-Natal,Retail,Net 15,N. Dlamini
CUST00158,Allen Trading,Mid-Market,Eastern Cape,Wholesale,Net 60,L. van Wyk
CUST00159,Rodriguez Trading,SMB,Eastern Cape,Ecommerce,Net 60,L. van Wyk
CUST00160,Jordan Trading,SMB,Free State,Retail,Net 60,N. Dlamini
CUST00161,Stephens PLC,Enterprise,Western Cape,Wholesale,Net 30,N. Dlamini
CUST00162,Perry Trading,SMB,Western Cape,Retail,Net 15,N. Dlamini
CUST00163,Brown Trading,SMB,Limpopo,Distributor,Net 30,N. Dlamini
CUST00164,Lozano Trading,SMB,Limpopo,Ecommerce,Net 45,N. Dlamini
CUST00165,Gonzalez Trading,Mid-Market,KwaZulu-Natal,Wholesale,Net 45,N. Dlamini
CUST00166,Goodman Trading,SMB,Limpopo,Wholesale,Net 30,S. Naidoo
CUST00167,Miller Trading,SMB,Western Cape,Ecommerce,Net 60,A. Petersen
CUST00168,"Moore, Miller and Anderson",Enterprise,Eastern Cape,Retail,Net 45,T. Mokoena
CUST00169,Alexander Trading,Mid-Market,KwaZulu-Natal,Distributor,Net 45,N. Dlamini
CUST00170,Ward Trading,Mid-Market,Eastern Cape,Ecommerce,Net 60,T. Mokoena
CUST00171,Howe Trading,SMB,Western Cape,Retail,Net 30,A. Petersen
CUST00172,Wilson Trading,SMB,Western Cape,Distributor,Net 60,L. van Wyk
CUST00173,Ramirez-Moore,Enterprise,Western Cape,Distributor,Net 45,N. Dlamini
CUST00174,Little Trading,SMB,Eastern Cape,Ecommerce,Net 30,N. Dlamini
CUST00175,"Lewis, Frank and Schmitt",Enterprise,KwaZulu-Natal,Distributor,Net 45,T. Mokoena
CUST00176,Weaver Trading,Mid-Market,Eastern Cape,Retail,Net 45,N. Dlamini
CUST00177,Norris Trading,SMB,KwaZulu-Natal,Retail,Net 45,A. Petersen
CUST00178,Lane and Sons,Enterprise,Gauteng,Distributor,Net 45,N. Dlamini
CUST00179,Green Trading,SMB,KwaZulu-Natal,Distributor,Net 45,N. Dlamini
CUST00180,Mosley Trading,SMB,Free State,Wholesale,Net 30,L. van Wyk
CUST00181,"Brown, Hale and Lopez",Enterprise,Eastern Cape,Retail,COD,A. Petersen
CUST00182,Graves Trading,Mid-Market,Limpopo,Wholesale,Net 30,A. Petersen
CUST00183,Holmes Trading,SMB,Eastern Cape,Retail,Net 15,N. Dlamini
CUST00184,Ramirez Trading,SMB,Gauteng,Wholesale,Net 45,T. Mokoena
CUST00185,Juarez Trading,SMB,KwaZulu-Natal,Distributor,Net 45,L. van Wyk
CUST00186,Miller Trading,SMB,Free State,Wholesale,Net 45,S. Naidoo
CUST00187,"Smith, Richardson and Richardson",Enterprise,Free State,Wholesale,COD,T. Mokoena
CUST00188,Herrera Trading,Mid-Market,Eastern Cape,Ecommerce,Net 60,T. Mokoena
CUST00189,Smith-Esparza,Enterprise,KwaZulu-Natal,Ecommerce,Net 60,A. Petersen
CUST00190,Harrison and Sons,Key Account,Eastern Cape,Wholesale,Net 45,A. Petersen
CUST00191,Curry Trading,SMB,KwaZulu-Natal,Distributor,Net 45,T. Mokoena
CUST00192,"Johnson, Hill and Chapman",Enterprise,Limpopo,Wholesale,Net 60,L. van Wyk
CUST00193,Delacruz Trading,SMB,Eastern Cape,Retail,Net 30,L. van Wyk
CUST00194,Nguyen Trading,Mid-Market,Eastern Cape,Distributor,Net 15,L. van Wyk
CUST00195,Mathews-Diaz,Key Account,Western Cape,Ecommerce,COD,L. van Wyk
CUST00196,Kidd Trading,SMB,Eastern Cape,Retail,Net 15,L. van Wyk
CUST00197,Gomez-Young,Enterprise,Western Cape,Retail,Net 45,T. Mokoena
CUST00198,Cortez Trading,SMB,Limpopo,Distributor,COD,T. Mokoena
CUST00199,"Reynolds, Brown and Hodges",Enterprise,Free State,Distributor,Net 30,L. van Wyk
CUST00200,Carter-Rojas,Enterprise,Gauteng,Retail,Net 15,T. Mokoena
CUST00201,Davis Ltd,Key Account,Limpopo,Retail,Net 45,N. Dlamini
CUST00202,Robinson Trading,Mid-Market,Limpopo,Retail,Net 45,S. Naidoo
CUST00203,Gonzalez Trading,Mid-Market,Gauteng,Retail,Net 30,N. Dlamini
CUST00204,Wilson Trading,SMB,KwaZulu-Natal,Distributor,Net 15,S. Naidoo
CUST00205,Morris Trading,SMB,Free State,Wholesale,Net 15,S. Naidoo
CUST00206,Flores Trading,SMB,Eastern Cape,Wholesale,Net 45,A. Petersen
CUST00207,Chen Trading,SMB,Eastern Cape,Ecommerce,Net 45,T. Mokoena
CUST00208,Davis Trading,Mid-Market,Eastern Cape,Ecommerce,Net 60,S. Naidoo
CUST00209,Raymond Trading,SMB,KwaZulu-Natal,Ecommerce,Net 45,T. Mokoena
CUST00210,Strickland Trading,SMB,KwaZulu-Natal,Wholesale,Net 45,L. van Wyk
CUST00211,Pennington Trading,SMB,Eastern Cape,Ecommerce,Net 60,T. Mokoena
CUST00212,"Ross, Brown and Perez",Key Account,KwaZulu-Natal,Retail,Net 45,T. Mokoena
CUST00213,Williams Trading,SMB,Limpopo,Retail,Net 60,L. van Wyk
CUST00214,Reyes-Marshall,Enterprise,KwaZulu-Natal,Wholesale,Net 60,T. Mokoena
CUST00215,Contreras Trading,SMB,Western Cape,Ecommerce,Net 15,N. Dlamini
CUST00216,Wright and Sons,Enterprise,Limpopo,Retail,Net 30,L. van Wyk
CUST00217,Shaffer Trading,SMB,KwaZulu-Natal,Wholesale,COD,T. Mokoena
CUST00218,Galloway Trading,SMB,Eastern Cape,Wholesale,Net 15,S. Naidoo
CUST00219,Mooney Trading,Mid-Market,KwaZulu-Natal,Ecommerce,Net 15,T. Mokoena
CUST00220,Horne Inc,Enterprise,Eastern Cape,Ecommerce,Net 30,N. Dlamini
CUST00221,Miller Trading,SMB,Gauteng,Wholesale,Net 15,L. van Wyk
CUST00222,"Wallace, Love and Hill",Key Account,Free State,Ecommerce,COD,L. van Wyk
CUST00223,Hays Trading,SMB,Free State,Retail,Net 45,T. Mokoena
CUST00224,Green Trading,Mid-Market,Limpopo,Ecommerce,Net 60,L. van Wyk
CUST00225,Adams Ltd,Enterprise,KwaZulu-Natal,Retail,Net 15,L. van Wyk
CUST00226,Lewis Trading,SMB,Free State,Ecommerce,Net 60,S. Naidoo
CUST00227,Johnson Trading,Mid-Market,Limpopo,Distributor,Net 30,L. van Wyk
CUST00228,Newman Trading,SMB,Gauteng,Retail,Net 30,L. van Wyk
CUST00229,Patel Trading,SMB,Western Cape,Wholesale,Net 45,L. van Wyk
CUST00230,Walsh Trading,SMB,Limpopo,Distributor,Net 60,S. Naidoo
CUST00231,Preston-Stephenson,Enterprise,Limpopo,Retail,Net 45,A. Petersen
CUST00232,Scott Trading,SMB,KwaZulu-Natal,Retail,Net 30,S. Naidoo
CUST00233,Williams Trading,SMB,Western Cape,Ecommerce,COD,T. Mokoena
CUST00234,Howe Trading,SMB,Limpopo,Ecommerce,COD,L. van Wyk
CUST00235,Houston Trading,SMB,Gauteng,Distributor,COD,S. Naidoo
CUST00236,Walters Trading,Mid-Market,Free State,Retail,COD,T. Mokoena
CUST00237,Lewis Trading,SMB,Western Cape,Wholesale,COD,A. Petersen
CUST00238,Williams Trading,SMB,Western Cape,Wholesale,Net 30,S. Naidoo
CUST00239,Stewart Trading,Mid-Market,Free State,Retail,Net 30,S. Naidoo
CUST00240,Hunt LLC,Key Account,Free State,Ecommerce,Net 15,N. Dlamini
CUST00241,Conrad Trading,Mid-Market,Gauteng,Wholesale,COD,T. Mokoena
CUST00242,Johnson Trading,Mid-Market,Western Cape,Ecommerce,COD,S. Naidoo
CUST00243,Holland Trading,SMB,Western Cape,Distributor,Net 60,N. Dlamini
CUST00244,Stevenson Trading,Mid-Market,Eastern Cape,Distributor,Net 30,A. Petersen
CUST00245,Lane Trading,Mid-Market,Eastern Cape,Wholesale,Net 60,N. Dlamini
CUST00246,Gross Trading,Mid-Market,Limpopo,Ecommerce,Net 45,N. Dlamini
CUST00247,Smith Trading,SMB,Eastern Cape,Distributor,Net 45,N. Dlamini
CUST00248,Brown Trading,SMB,Eastern Cape,Retail,COD,T. Mokoena
CUST00249,Nguyen Trading,Mid-Market,Gauteng,Wholesale,Net 30,A. Petersen
CUST00250,Mata Trading,Mid-Market,Free State,Ecommerce,Net 45,A. Petersen
CUST00251,Nelson Trading,SMB,Eastern Cape,Distributor,COD,N. Dlamini
CUST00252,Hendrix LLC,Enterprise,Limpopo,Wholesale,Net 45,L. van Wyk
CUST00253,"Miller, Lopez and Mcdonald",Enterprise,Eastern Cape,Ecommerce,Net 45,L. van Wyk
CUST00254,Carter Trading,SMB,Gauteng,Ecommerce,Net 45,T. Mokoena
CUST00255,Watkins Trading,Mid-Market,KwaZulu-Natal,Wholesale,Net 45,N. Dlamini
CUST00256,Lara Trading,SMB,Gauteng,Retail,Net 45,N. Dlamini
CUST00257,Henderson Trading,Mid-Market,KwaZulu-Natal,Wholesale,Net 60,N. Dlamini
CUST00258,Peterson Trading,Mid-Market,Free State,Ecommerce,COD,L. van Wyk
CUST00259,Sanford Trading,SMB,Limpopo,Distributor,COD,T. Mokoena
CUST00260,Henderson Trading,Mid-Market,KwaZulu-Natal,Retail,Net 60,A. Petersen
CUST00261,Lewis Trading,SMB,Limpopo,Distributor,Net 15,N. Dlamini
CUST00262,Lee Trading,SMB,Free State,Ecommerce,COD,T. Mokoena
CUST00263,Jackson Trading,Mid-Market,Eastern Cape,Retail,Net 60,T. Mokoena
CUST00264,Burnett Trading,SMB,KwaZulu-Natal,Ecommerce,Net 30,T. Mokoena
CUST00265,Cabrera Trading,SMB,Western Cape,Distributor,COD,S. Naidoo
CUST00266,Lambert Trading,Mid-Market,Gauteng,Retail,Net 60,S. Naidoo
CUST00267,Wright Trading,SMB,Eastern Cape,Ecommerce,Net 15,T. Mokoena
CUST00268,Stewart Trading,SMB,KwaZulu-Natal,Retail,COD,S. Naidoo
CUST00269,Young Trading,SMB,Free State,Retail,COD,T. Mokoena
CUST00270,Rodriguez Trading,SMB,Eastern Cape,Distributor,Net 60,L. van Wyk
CUST00271,Hill Trading,SMB,Western Cape,Retail,Net 30,L. van Wyk
CUST00272,Camacho Trading,SMB,Limpopo,Distributor,Net 60,T. Mokoena
CUST00273,Ortiz Trading,SMB,Eastern Cape,Retail,COD,S. Naidoo
CUST00274,Allen Trading,SMB,Western Cape,Wholesale,Net 30,T. Mokoena
CUST00275,Morris Trading,SMB,Gauteng,Distributor,Net 45,S. Naidoo
CUST00276,Carr Trading,SMB,Free State,Wholesale,Net 60,A. Petersen
CUST00277,"Martinez, Fitzpatrick and Carter",Enterprise,KwaZulu-Natal,Retail,Net 45,N. Dlamini
CUST00278,Harrison Trading,SMB,Eastern Cape,Retail,Net 30,A. Petersen
CUST00279,Rios Trading,SMB,Eastern Cape,Distributor,Net 30,N. Dlamini
CUST00280,Nelson Trading,SMB,KwaZulu-Natal,Wholesale,Net 60,L. van Wyk
CUST00281,Hansen and Sons,Enterprise,KwaZulu-Natal,Retail,Net 45,N. Dlamini
CUST00282,Castillo Trading,SMB,Free State,Distributor,Net 60,N. Dlamini
CUST00283,Rivas Trading,SMB,KwaZulu-Natal,Ecommerce,Net 15,T. Mokoena
CUST00284,Farmer Trading,Mid-Market,Gauteng,Retail,Net 60,A. Petersen
CUST00285,Jones Trading,SMB,KwaZulu-Natal,Ecommerce,Net 15,S. Naidoo
CUST00286,Powers Trading,SMB,KwaZulu-Natal,Wholesale,Net 15,A. Petersen
CUST00287,Payne Trading,SMB,Limpopo,Retail,Net 15,L. van Wyk
CUST00288,Davis Trading,SMB,Free State,Distributor,Net 60,A. Petersen
CUST00289,Bauer Trading,SMB,Limpopo,Ecommerce,Net 15,L. van Wyk
CUST00290,Palmer Trading,SMB,Eastern Cape,Ecommerce,Net 30,A. Petersen
CUST00291,Mejia Trading,SMB,Free State,Retail,Net 30,L. van Wyk
CUST00292,Fuller Trading,SMB,Gauteng,Ecommerce,Net 30,N. Dlamini
CUST00293,Gross Trading,Mid-Market,Gauteng,Distributor,Net 45,A. Petersen
CUST00294,Klein Trading,Mid-Market,Limpopo,Retail,Net 45,A. Petersen
CUST00295,Rodriguez Trading,Mid-Market,KwaZulu-Natal,Distributor,Net 60,S. Naidoo
CUST00296,"Ellis, Suarez and Mora",Key Account,Eastern Cape,Retail,Net 30,N. Dlamini
CUST00297,Benjamin Trading,SMB,Western Cape,Retail,Net 15,L. van Wyk
CUST00298,Burke Inc,Key Account,Free State,Wholesale,Net 30,T. Mokoena
CUST00299,"Kramer, Lopez and Miller",Enterprise,Eastern Cape,Distributor,Net 30,A. Petersen
CUST00300,Harris Trading,SMB,Limpopo,Ecommerce,COD,T. Mokoena
CUST00301,Foster Trading,SMB,Limpopo,Distributor,Net 30,T. Mokoena
CUST00302,Gay Trading,Mid-Market,Limpopo,Wholesale,Net 30,N. Dlamini
CUST00303,Daniels Trading,Mid-Market,Western Cape,Ecommerce,Net 30,L. van Wyk
CUST00304,Howe Trading,SMB,Limpopo,Retail,Net 30,A. Petersen
CUST00305,Howard Trading,SMB,KwaZulu-Natal,Wholesale,Net 60,N. Dlamini
CUST00306,Edwards Trading,Mid-Market,Eastern Cape,Ecommerce,COD,T. Mokoena
CUST00307,Smith Trading,SMB,Western Cape,Ecommerce,Net 45,S. Naidoo
CUST00308,Torres Trading,SMB,Western Cape,Wholesale,COD,T. Mokoena
CUST00309,"Shea, Garrison and Love",Enterprise,Gauteng,Retail,Net 30,A. Petersen
CUST00310,Bates Trading,SMB,Eastern Cape,Wholesale,Net 15,S. Naidoo
CUST00311,"Ross, Ellis and Johnson",Enterprise,Free State,Wholesale,Net 45,N. Dlamini
CUST00312,Scott Trading,SMB,Limpopo,Wholesale,Net 45,A. Petersen
CUST00313,Williams Trading,SMB,Limpopo,Distributor,Net 15,A. Petersen
