Order Date,Order ID,Invoice No,Product Name,SKU,Category,Sub Category,Customer ID,Customer,Customer Tier,Region,Sales Channel,Warehouse,Sales Rep,Qty,Unit Price,Unit Cost,Sales Amt,Gross Profit,Currency,Exchange Rate,Promotion,Order Status,Payment Terms,Return Reason,Delivery Days,Notes
2024-01-29,ORD-202401-000012,INV-202401-000012,Widget Rift,SKU011,Packaging,Boxes,CUST01516,Mcintyre Trading,SMB,Gauteng,Wholesale,Cape Town DC,L. van Wyk,49,R17.61,7.79,862.89,481.18,ZAR,1.0,Launch Campaign,Completed,COD,,7,promo order
2025-06-29,ORD-202506-000013,INV-202506-000013,Widget Pulse,SKU009,Electronics,Sensors,CUST00247,Smith Trading,SMB,Eastern Cape,Distributor,Johannesburg DC,N. Dlamini,-15,498.4,349.4,7476.0,2235.0,ZAR,1.0,Year End Promo,Completed,Net 45,,20,
2025-03-17,ORD-202503-000014,INV-202503-000014,Widget Spark,SKU012,Packaging,Labels,CUST00703,Novak Trading,Mid-Market,Free State,Wholesale,Johannesburg DC,L. van Wyk,50,10.73,3.91,536.5,341.0,ZAR,1.0,None,Completed,Net 15,,5,VIP customer
2024-12-16,ORD-202412-000015,INV-202412-000015,Widget Beta,SKU002,Hardware,Fasteners,CUST01071,Turner Trading,Mid-Market,KwaZulu-Natal,Ecommerce,Johannesburg DC,L. van Wyk,5,R92.56,54.16,462.80,192.0,ZAR,1.0,None,Completed,Net 45,,5,manual correction
2025-01-04,ORD-202501-000016,INV-202501-000016,Widget Delta,SKU004,Hardware,Tools,CUST00754,Zamora Trading,SMB,Free State,Distributor,Johannesburg DC,N. Dlamini,-17,286.73,208.07,-4874.41,-1337.22,ZAR,1.0,Bundle Discount,Returned,Net 60,Late Delivery,6,rush delivery
2024-01-18,ORD-202401-000017,INV-202401-000017,Widget Flux,SKU006,Accessories,Cables,CUST01060,Jimenez Trading,Mid-Market,Free State,Ecommerce,Pretoria Hub,T. Mokoena,26,52.42,23.14,1362.92,761.28,ZAR,1.0,None,Completed,COD,,11,
2024-02-02,ORD-202402-000018,INV-202402-000018,Widget Pulse,SKU009,Electronics,Sensors,CUST01275,Herring Trading,SMB,Limpopo,Wholesale,Pretoria Hub,S. Naidoo,15,498.7,333.9,7480.5,2472.0,ZAR,1.0,Launch Campaign,Completed,COD,,23,
2024-09-20,ORD-202409-000019,INV-202409-000019,Widget Spark,SKU012,Packaging,Labels,CUST00181,"Brown, Hale and Lopez",Enterprise,Eastern Cape,Retail,Pretoria Hub,A. Petersen,51,11.27,4.16,574.77,362.61,ZAR,1.0,None,Completed,COD,,3,VIP customer
2024-04-01,ORD-202404-000020,INV-202404-000020,Widget Beta,SKU002,Hardware,Fasteners,CUST01255,Green Trading,Mid-Market,Free State,Wholesale,Durban Hub,S. Naidoo,19,87.59,56.39,1664.21,592.8,ZAR,1.0,None,Completed,Net 60,,7,VIP customer
2024-01-10,ORD-202401-000021,INV-202401-000021,Widget Nova,SKU007,Accessories,Batteries,CUST00627,Long Trading,Mid-Market,Limpopo,Retail,Cape Town DC,L. van Wyk,20,115.95,72.16,2319.0,875.8,ZAR,1.0,None,Completed,Net 15,,7,manual correction
22-12-2025,ORD-202512-000022,INV-202512-000022,Widget Echo,SKU005,Accessories,Cables,CUST00571,Nelson Trading,Mid-Market,KwaZulu-Natal,Retail,Cape Town DC,S. Naidoo,13,37.52,18.59,487.76,246.09,ZAR,1.0,Year End Promo,Completed,Net 45,,15,
2024-10-16,ORD-202410-000023,INV-202410-000023,Widget Echo,SKU005,Accessories,Cables,CUST00489,Lowery Trading,SMB,Western Cape,Distributor,Durban Hub,S. Naidoo,36,38.05,18.42,1369.8,706.68,ZAR,1.0,None,Completed,Net 60,,14,VIP customer
2024-04-14,ORD-202404-000024,INV-202404-000024,Widget Quantum,SKU010,Electronics,Controllers,CUST00681,Fisher Trading,Mid-Market,Western Cape,Distributor,Cape Town DC,S. Naidoo,17,687.25,529.0,11683.25,2690.25,USD,17.7209,Launch Campaign,Completed,Net 30,,22,VIP customer
2025-11-17,ORD-202511-000025,INV-202511-000025,Widget Spark,SKU012,Packaging,Labels,CUST00033,"Torres, Fleming and Martin",Enterprise,Free State,Wholesale,Pretoria Hub,L. van Wyk,127,10.79,4.01,"1,370.33",861.06,ZAR,1.0,None,Completed,Net 15,,6,VIP customer
2024-05-08,ORD-202405-000026,INV-202405-000026,Widget Quantum,SKU010,Electronics,Controllers,CUST00327,James Trading,SMB,Gauteng,Retail,Pretoria Hub,L. van Wyk,4,753.36,522.36,3013.44,924.0,ZAR,1.0,None,Completed,Net 15,,20,rush delivery
2024-02-10,ORD-202402-000027,INV-202402-000027,Widget Beta,SKU002,Hardware,Fasteners,CUST01608,Bryant Trading,Mid-Market,Limpopo,Distributor,Johannesburg DC,L. van Wyk,25,83.01,55.01,2075.25,700.0,ZAR,1.0,None,Completed,Net 60,,4,
2024-12-26,ORD-202412-000028,INV-202412-000028,Widget Pulse,SKU009,Electronics,Sensors,CUST01299,Roach Trading,SMB,Limpopo,Distributor,Cape Town DC,S. Naidoo,20,468.25,337.72,9365.0,2610.6,ZAR,1.0,Bundle Discount,Completed,Net 60,,24,promo order
2025-03-11,ORD-202503-000029,INV-202503-000029,Widget Rift,SKU011,Packaging,Boxes,CUST00320,Hughes and Sons,Enterprise,Gauteng,Wholesale,Cape Town DC,T. Mokoena,94,15.7,7.83,1475.8,739.78,ZAR,1.0,None,Completed,Net 45,,3,VIP customer
2024-04-01,ORD-202404-000030,INV-202404-000030,Widget Rift,SKU011,Packaging,Boxes,CUST01064,Russell Trading,SMB,Gauteng,Retail,Durban Hub,N. Dlamini,17,18.37,8.24,312.29,172.21,ZAR,1.0,Bundle Discount,Completed,Net 30,,6,manual correction
2024-02-19,ORD-202402-000031,INV-202402-000031, Widget Beta  ,SKU002,Hardware,Fasteners,CUST00554,Thomas Trading,SMB,Limpopo,Retail,Pretoria Hub,T. Mokoena,1,94.14,55.49,94.14,38.65,ZAR,1.0,Bundle Discount,Completed,COD,,8,
2024-12-28,ORD-202412-000032,INV-202412-000032,Widget Orion,SKU008,Electronics,Sensors,CUST01390,Ford Trading,SMB,Free State,Retail,Cape Town DC,S. Naidoo,4,480.05,R305.30,"R1,920.20",699.0,ZAR,1.0,Launch Campaign,Completed,Net 15,,23,rush delivery
2025-06-04,ORD-202506-000033,INV-202506-000033,Widget Rift,SKU011,Packaging,Boxes,CUST00806,Bates Group,Key Account,KwaZulu-Natal,Distributor,Johannesburg DC,L. van Wyk,164,14.25,8.04,2337.0,1018.44,ZAR,1.0,Year End Promo,Completed,Net 45,,4,promo order
2024-03-17,ORD-202403-000034,INV-202403-000034,Widget Gamma,SKU003,Hardware,Tools,CUST00725,Hunter Trading,SMB,Western Cape,Wholesale,Durban Hub,S. Naidoo,-11,212.73,140.87,-2340.03,-790.46,USD,18.2773,None,Returned,Net 15,Wrong Item,13,promo order
2025-05-14,ORD-202505-000035,INV-202505-000035,Widget Quantum,SKU010,Electronics,Controllers,CUST01642, Henderson and Sons  ,Key Account,Free State,Retail,Johannesburg DC,L. van Wyk,9,663.32,517.85,5969.88,1309.23,ZAR,1.0,None,Completed,Net 15,,25,VIP customer
2024-07-05,ORD-202407-000036,INV-202407-000036, Widget Nova  ,SKU007,Accessories,Batteries,CUST00948,Williamson-Long,Key Account,Gauteng,Retail,Cape Town DC,L. van Wyk,33,105.7,70.79,3488.1,1152.03,ZAR,1.0,Bundle Discount,Completed,Net 15,,8,VIP customer
2025-05-15,ORD-202505-000037,INV-202505-000037,Widget Nova,SKU007,Accessories,Batteries,CUST00852,Phelps Trading,SMB,Limpopo,Ecommerce,Pretoria Hub,N. Dlamini,15,116.22,74.56,"R1,743.30",624.9,ZAR,1.0,Year End Promo,Completed,Net 60,,5,
2024-10-15,ORD-202410-000038,INV-202410-000038,Widget Echo,SKU005,Accessories,Cables,CUST01529,Roy Trading,Mid-Market,Gauteng,Ecommerce,Cape Town DC,L. van Wyk,18,35.57,17.97,640.26,316.8,ZAR,1.0,Year End Promo,Completed,Net 15,,12,
2025-02-14,ORD-202502-000039,INV-202502-000039,Widget Gamma,SKU003,Hardware,Tools,CUST00330,Rivera Trading,SMB,Western Cape,Ecommerce,Cape Town DC,N. Dlamini,6,213.11,136.82,1278.66,$457.74,ZAR,1.0,None,Completed,Net 45,,9,
2024-01-01,ORD-202401-000040,INV-202401-000040,Widget Alpha,SKU001,Hardware,Fasteners,CUST00932,Pearson Trading,Mid-Market,Gauteng,Distributor,Johannesburg DC,A. Petersen,39,74.63,46.48,2910.57,1097.85,ZAR,1.0,None,Completed,Net 15,,6,rush delivery
2025-08-21,ORD-202508-000041,INV-202508-000041,Widget Delta,SKU004,Hardware,Tools,CUST00806,Bates Group,Key Account,KwaZulu-Natal,Distributor,Johannesburg DC,L. van Wyk,80,229.2,198.76,"18,336.00",2435.2,ZAR,1.0,Summer Promo,Completed,Net 45,,12,manual correction
2025-07-27,ORD-202507-000042,INV-202507-000042,Widget Echo,SKU005,Accessories,Cables,CUST01593,Simpson Trading,SMB,Free State,Wholesale,Johannesburg DC,T. Mokoena,21,38.79,18.01,814.59,436.38,ZAR,1.0,Launch Campaign,Completed,Net 60,,18,promo order
18-06-2024,ORD-202406-000043,INV-202406-000043,Widget Beta,SKU002,Hardware,Fasteners,CUST00389, Marshall Trading  ,SMB,KwaZulu-Natal,Distributor,Durban Hub,N. Dlamini,18,84.79,53.71,1526.22,559.44,ZAR,1.0,None,Completed,COD,,9,manual correction
2025-10-16,ORD-202510-000044,INV-202510-000044,Widget Alpha,SKU001,Hardware,Fasteners,CUST01051,Martinez Trading,SMB,KwaZulu-Natal,Ecommerce,Johannesburg DC,T. Mokoena,6,$85.18,46.29,511.08,233.34,ZAR,1.0,Bundle Discount,Completed,Net 60,,5,promo order
2024-08-12,ORD-202408-000045,INV-202408-000045,Widget Flux,SKU006,Accessories,Cables,CUST00506,Hamilton Trading,SMB,Gauteng,Wholesale,Johannesburg DC,L. van Wyk,-33,54.63,23.42,-1802.79,-1029.93,ZAR,1.0,None,Returned,COD,Late Delivery,16,rush delivery
2024-04-05,ORD-202404-000046,INV-202404-000046,Widget Orion,SKU008,Electronics,Sensors,CUST01615,Martin-Barnes,Enterprise,Eastern Cape,Distributor,Pretoria Hub,A. Petersen,19,376.36,302.76,7150.84,1398.4,USD,17.9149,None,Completed,Net 45,,24,VIP customer
2024-04-12,ORD-202404-000047,INV-202404-000047,Widget Quantum,SKU010,Electronics,Controllers,CUST01214,Ortiz Trading,SMB,Limpopo,Retail,Johannesburg DC,A. Petersen,3,732.79,494.65,"R2,198.37",714.42,ZAR,1.0,Bundle Discount,Completed,Net 30,,23,manual correction
2024-06-07,ORD-202406-000048,INV-202406-000048,Widget Orion,SKU008,Electronics,Sensors,CUST00252,Hendrix LLC,Enterprise,Limpopo,Wholesale,Johannesburg DC,L. van Wyk,18,406.94,316.91,"$7,324.92",1620.54,ZAR,1.0,None,Completed,Net 45,,26,manual correction
2024-04-22,ORD-202404-000049,INV-202404-000049,Widget Gamma,SKU003,Hardware,Tools,CUST00870,Avila Trading,SMB,Gauteng,Ecommerce,Johannesburg DC,T. Mokoena,9,211.22,146.44,1900.98,583.02,ZAR,1.0,Summer Promo,Completed,Net 15,,10,VIP customer
2025-01-12,ORD-202501-000050,INV-202501-000050,Widget Rift,SKU011,Packaging,Boxes,CUST01734,"Williams, Wolfe and Brooks",Enterprise,Free State,Ecommerce,Cape Town DC,T. Mokoena,26,16.48,8.19,428.48,215.54,ZAR,1.0,None,Completed,Net 60,,5,VIP customer
2025-05-07,ORD-202505-000051,INV-202505-000051,Widget Nova,SKU007,Accessories,Batteries,CUST00044,Fisher Trading,SMB,Eastern Cape,Distributor,Cape Town DC,N. Dlamini,58,119.21,74.03,"6,914.18",2620.44,ZAR,1.0,None,Completed,COD,,9,promo order
2025-07-25,ORD-202507-000052,INV-202507-000052,Widget Flux,SKU006,Accessories,Cables,CUST00344,Bass Trading,SMB,Western Cape,Distributor,Cape Town DC,T. Mokoena,39,49.66,25.03,1936.74,R960.57,ZAR,1.0,None,Completed,Net 45,,8,
2025-08-18,ORD-202508-000053,INV-202508-000053,Widget Rift,SKU011,Packaging,Boxes,CUST00105,Shepherd-Howard,Enterprise,Free State,Distributor,Cape Town DC,L. van Wyk,127,14.92,8.11,1894.84,864.87,ZAR,1.0,None,Completed,Net 60,,1,VIP customer
2024-06-26,ORD-202406-000054,INV-202406-000054,Widget Quantum,SKU010,Electronics,Controllers,CUST01590,Gilmore Trading,SMB,Limpopo,Distributor,Pretoria Hub,N. Dlamini,7,640.69,507.79,4484.83,930.3,ZAR,1.0,Launch Campaign,Completed,Net 45,,19,promo order
2025-09-11,ORD-202509-000055,INV-202509-000055,Widget Pulse,SKU009,Electronics,Sensors,CUST00319,Jones Trading,Mid-Market,KwaZulu-Natal,Distributor,Pretoria Hub,S. Naidoo,14,465.06,345.74,6510.84,1670.48,ZAR,1.0,Summer Promo,Completed,Net 60,,21,rush delivery
2024-02-03,ORD-202402-000056,INV-202402-000056,Widget Rift,SKU011,Packaging,Boxes,CUST01374, Powell Trading  ,SMB,Eastern Cape,Wholesale,Pretoria Hub,T. Mokoena,43,16.89,8.38,726.27,365.93,ZAR,1.0,Summer Promo,Completed,Net 60,,6,VIP customer
2024-01-25,ORD-202401-000057,INV-202401-000057,Widget Gamma,SKU003,Hardware,Tools,CUST01441,Smith Group,Enterprise,Limpopo,Distributor,Cape Town DC,A. Petersen,56,174.86,140.41,9792.16,1929.2,ZAR,1.0,None,Completed,Net 30,,9,rush delivery
2024-12-13,ORD-202412-000058,INV-202412-000058,Widget Gamma,SKU003,Hardware,Tools,CUST00310,Bates Trading,SMB,Eastern Cape,Wholesale,Pretoria Hub,S. Naidoo,27,214.06,145.19,"R5,779.62",1859.49,ZAR,1.0,Bundle Discount,Completed,Net 15,,12,manual correction
2024-03-10,ORD-202403-000059,INV-202403-000059,Widget Gamma,SKU003,Hardware,Tools,CUST00952,Chapman Group,Enterprise,Western Cape,Distributor,Pretoria Hub,N. Dlamini,75,183.44,138.85,13758.0,3344.25,ZAR,1.0,Year End Promo,Completed,Net 45,,6,
2024-11-17,ORD-202411-000060,INV-202411-000060,Widget Quantum,SKU010,Electronics,Controllers,CUST01021,Wong Trading,Mid-Market,Limpopo,Distributor,Johannesburg DC,S. Naidoo,13,668.17,R508.57,8686.21,2074.8,ZAR,1.0,Bundle Discount,Completed,Net 45,,22,VIP customer
2024-04-21,ORD-202404-000061,INV-202404-000061,Widget Orion,SKU008,Electronics,Sensors,CUST00153,"Pennington, Robinson and Ramirez",Enterprise,Free State,Ecommerce,Pretoria Hub,L. van Wyk,-3,424.33,300.62,-1272.99,-371.13,ZAR,1.0,None,Returned,Net 45,Customer Return,23,VIP customer
2025-04-29,ORD-202504-000062,INV-202504-000062,Widget Nova,SKU007,Accessories,Batteries,CUST00941,Reid Trading,SMB,Limpopo,Ecommerce,Cape Town DC,A. Petersen,-6,119.71,75.78,-718.26,-263.58,ZAR,1.0,Year End Promo,Returned,Net 30,Damaged,1,rush delivery
2025-05-08,ORD-202505-000063,INV-202505-000063,Widget Nova,SKU007,Accessories,Batteries,CUST01353,,Mid-Market,Free State,Wholesale,Pretoria Hub,T. Mokoena,-29,110.22,75.23,-3196.38,-1014.71,ZAR,1.0,None,Returned,Net 15,Pricing Dispute,4,manual correction
2025-06-17,ORD-202506-000064,INV-202506-000064,Widget Echo,SKU005,Accessories,Cables,CUST01095,Alvarado Trading,SMB,Eastern Cape,Ecommerce,Pretoria Hub,N. Dlamini,10,39.01,18.01,390.1,210.0,ZAR,1.0,None,Completed,Net 60,,14,rush delivery
2025-05-29,ORD-202505-000065,INV-202505-000065,Widget Echo,SKU005,Accessories,Cables,CUST01427,"Becker, Burke and Rogers",Key Account,Gauteng,Wholesale,Durban Hub,L. van Wyk,86,33.6,18.33,2889.6,1313.22,ZAR,1.0,None,Completed,Net 60,,14,rush delivery
2024-03-30,ORD-202403-000066,INV-202403-000066,Widget Beta,SKU002,Hardware,Fasteners,CUST00544,Jenkins Trading,Mid-Market,KwaZulu-Natal,Retail,Johannesburg DC,S. Naidoo,11,89.25,51.92,981.75,410.63,ZAR,1.0,None,Completed,COD,,5,
2025-02-09,ORD-202502-000067,INV-202502-000067,Widget Spark,SKU012,Packaging,Labels,CUST00014,Johnson Trading,SMB,KwaZulu-Natal,Retail,Durban Hub,S. Naidoo,19,$12.26,R4.12,232.94,154.66,ZAR,1.0,None,Completed,Net 60,,3,promo order
2025-09-23,ORD-202509-000068,INV-202509-000068,Widget Delta,SKU004,Hardware,Tools,CUST00784,Moreno Ltd,Key Account,Eastern Cape,Ecommerce,Pretoria Hub,S. Naidoo,20,R271.15,197.75,5423.0,1468.0,USD,17.8995,None,Completed,Net 15,,12,manual correction
2024-01-29,ORD-202401-000069,INV-202401-000069,Widget Gamma,SKU003,Hardware,Tools,CUST00287,Payne Trading,SMB,Limpopo,Retail,Cape Town DC,L. van Wyk,13,211.28,146.0,2746.64,848.64,USD,18.9593,None,Completed,Net 15,,9,VIP customer
2024-04-23,ORD-202404-000070,INV-202404-000070,Widget Beta,SKU002,Hardware,Fasteners,CUST00260,Henderson Trading,Mid-Market,KwaZulu-Natal,Retail,Cape Town DC,A. Petersen,8,90.38,52.44,R723.04,303.52,ZAR,1.0,None,Completed,Net 60,,5,
2025-11-06,ORD-202511-000071,INV-202511-000071,Widget Gamma,SKU003,Hardware,Tools,CUST01243,Gonzalez Trading,Mid-Market,Gauteng,Distributor,Durban Hub,S. Naidoo,43,188.44,145.17,8102.92,"R1,860.61",ZAR,1.0,None,Completed,COD,,10,promo order
2025-12-09,ORD-202512-000072,INV-202512-000072,Widget Spark,SKU012,Packaging,Labels,CUST00588,Simpson Trading,SMB,Limpopo,Ecommerce,Durban Hub,L. van Wyk,-14,11.98,4.01,-167.72,-111.58,ZAR,1.0,None,Returned,Net 45,Late Delivery,2,VIP customer
2025-03-09,ORD-202503-000073,INV-202503-000073,Widget Orion,SKU008,Electronics,Sensors,CUST00974,Ellison Trading,Mid-Market,Eastern Cape,Ecommerce,Pretoria Hub,S. Naidoo,4,433.13,320.36,1732.52,451.08,ZAR,1.0,Summer Promo,Completed,Net 45,,20,VIP customer
2025-03-15,ORD-202503-000074,INV-202503-000074, Widget Flux  ,SKU006,Accessories,Cables,CUST00657,Norton Trading,SMB,Western Cape,Distributor,Durban Hub,L. van Wyk,40,49.66,23.2,1986.4,1058.4,ZAR,1.0,None,Completed,Net 30,,13,VIP customer
2024-03-17,ORD-202403-000075,INV-202403-000075,Widget Rift,SKU011,Packaging,Boxes,CUST00521,Pope Trading,SMB,Gauteng,Retail,Durban Hub,T. Mokoena,24,17.45,7.98,418.8,227.28,ZAR,1.0,None,Completed,COD,,1,VIP customer
2024-02-07,ORD-202402-000076,INV-202402-000076,Widget Nova,SKU007,Accessories,Batteries,CUST00955,Spence Trading,Mid-Market,KwaZulu-Natal,Wholesale,Johannesburg DC,S. Naidoo,44,110.11,$70.34,4844.84,"$1,749.88",ZAR,1.0,None,Completed,COD,,2,VIP customer
2024-05-22,ORD-202405-000077,INV-202405-000077,Widget Alpha,SKU001,Hardware,Fasteners,CUST00615,Deleon Trading,SMB,Limpopo,Retail,Johannesburg DC,N. Dlamini,8,87.1,48.76,696.8,306.72,ZAR,1.0,None,Completed,Net 60,,7,
2024-05-21,ORD-202405-000078,INV-202405-000078,Widget Gamma,SKU003,Hardware,Tools,CUST00418,Kirby LLC,Key Account,Western Cape,Ecommerce,Pretoria Hub,T. Mokoena,21,177.77,135.99,3733.17,877.38,ZAR,1.0,Year End Promo,Completed,COD,,10,VIP customer
2024-07-29,ORD-202407-000079,INV-202407-000079,Widget Spark,SKU012,Packaging,Labels,CUST00740,Howard and Sons,Enterprise,Free State,Wholesale,Cape Town DC,T. Mokoena,101,10.43,4.19,1053.43,630.24,ZAR,1.0,None,Completed,COD,,4,manual correction
2025-09-27,ORD-202509-000080,INV-202509-000080,Widget Orion,SKU008,Electronics,Sensors,CUST00343,Turner Trading,Mid-Market,Eastern Cape,Distributor,Durban Hub,L. van Wyk,12,386.47,$308.77,4637.64,932.40,USD,18.8277,None,Completed,Net 45,,18,promo order
2024-12-07,ORD-202412-000081,INV-202412-000081,Widget Pulse,SKU009,Electronics,Sensors,CUST00733,Wright Trading,SMB,Western Cape,Distributor,Pretoria Hub,L. van Wyk,23,491.96,342.68,11315.08,"R3,433.44",ZAR,1.0,None,Completed,COD,,23,
2025-12-17,ORD-202512-000082,INV-202512-000082,Widget Quantum,SKU010,Electronics,Controllers,CUST00462,Tate Trading,SMB,Limpopo,Retail,Durban Hub,L. van Wyk,8,794.37,507.63,"R6,354.96",2293.92,ZAR,1.0,Bundle Discount,Completed,COD,,20,promo order
2024-05-25,ORD-202405-000083,INV-202405-000083, Widget Orion  ,SKU008,Electronics,Sensors,CUST00467,Page Trading,SMB,Limpopo,Ecommerce,Johannesburg DC,A. Petersen,1,474.38,R309.54,474.38,R164.84,ZAR,1.0,Launch Campaign,Completed,Net 60,,25,promo order
12/09/2024,ORD-202412-000084,INV-202412-000084,Widget Spark,SKU012,Packaging,Labels,CUST00628,Sparks Group,Key Account,Free State,Ecommerce,Durban Hub,T. Mokoena,83,10.31,3.97,855.73,526.22,ZAR,1.0,Summer Promo,Completed,Net 15,,2,VIP customer
2024-12-31,ORD-202412-000085,INV-202412-000085,Widget Gamma,SKU003,Hardware,Tools,CUST00253,"Miller, Lopez and Mcdonald",Enterprise,Eastern Cape,Ecommerce,Cape Town DC,L. van Wyk,22,192.84,141.68,4242.48,1125.52,ZAR,1.0,None,Completed,Net 45,,10,VIP customer
2024-11-12,ORD-202411-000086,INV-202411-000086,Widget Echo,SKU005,Accessories,Cables,CUST01617,Jacobs Trading,Mid-Market,Limpopo,Retail,Pretoria Hub,T. Mokoena,25,38.68,18.12,967.0,514.0,ZAR,1.0,Summer Promo,Completed,COD,,18,promo order
08/10/2024,ORD-202408-000087,INV-202408-000087,Widget Alpha,SKU001,Hardware,Fasteners,CUST00963,Navarro Trading,Mid-Market,Western Cape,Ecommerce,Durban Hub,L. van Wyk,8,81.28,45.64,650.24,285.12,ZAR,1.0,None,Completed,Net 45,,12,
2024-09-11,ORD-202409-000088,INV-202409-000088,Widget Flux,SKU006,Accessories,Cables,CUST00751,Jensen Trading,Mid-Market,Free State,Retail,Durban Hub,T. Mokoena,-7,54.28,23.95,-379.96,-212.31,ZAR,1.0,None,Returned,Net 15,Wrong Item,9,promo order
2024-04-08,ORD-202404-000089,INV-202404-000089,Widget Nova,SKU007,Accessories,Batteries,CUST01160,Horton Trading,SMB,Limpopo,Ecommerce,Durban Hub,S. Naidoo,10,122.67,$74.64,"R1,226.70",480.3,ZAR,1.0,Year End Promo,Completed,COD,,7,manual correction
2024-05-08,ORD-202405-000090,INV-202405-000090,Widget Nova,SKU007,Accessories,Batteries,CUST00216,Wright and Sons,Enterprise,Limpopo,Retail,Johannesburg DC,L. van Wyk,33,112.31,73.12,3706.23,1293.27,ZAR,1.0,None,Completed,Net 30,,7,
2024-05-19,ORD-202405-000091,INV-202405-000091,Widget Orion,SKU008,Electronics,Sensors,CUST01153,Jimenez Trading,SMB,Limpopo,Distributor,Johannesburg DC,S. Naidoo,8,446.28,315.45,3570.24,1046.64,ZAR,1.0,Summer Promo,Completed,Net 30,,19,
13-07-2025,ORD-202507-000092,INV-202507-000092,Widget Delta,SKU004,Hardware,Tools,CUST01234,Patton Trading,SMB,Free State,Distributor,Pretoria Hub,L. van Wyk,25,287.09,209.37,7177.25,1943.0,ZAR,1.0,Summer Promo,Completed,Net 30,,14,manual correction
2025-03-02,ORD-202503-000093,INV-202503-000093,Widget Orion,SKU008,Electronics,Sensors,CUST00749,Smith Trading,Mid-Market,KwaZulu-Natal,Distributor,Durban Hub,N. Dlamini,20,394.76,305.51,7895.2,1785.0,ZAR,1.0,None,Completed,Net 60,,22,VIP customer
2025-06-09,ORD-202506-000094,INV-202506-000094,Widget Nova,SKU007,Accessories,Batteries,CUST00089,Boyd-Watts,Enterprise,Free State,Wholesale,Pretoria Hub,L. van Wyk,42,106.72,71.07,4482.24,1497.3,ZAR,1.0,Summer Promo,Completed,Net 30,,3,VIP customer
